Creation Date,UID,SKU,Products,Type,Title,Collection,Category,Family,Price,Color,Size,Display,,Count,Online,Images
,SW57-L,SW57-L,SW57-L,,GREY SWEATER W/ZIP,,,COAT,87.75,GREY,L,,,2,y,
,7557J-J-M,7557J-J-M,7557J-J-M,,IVORY SWEATER W/PEARLS,Clothing,Tops,Tops,55.50,IVORY,M,,,1,y,
,7557J-J-L,7557J-J-L,7557J-J-L,,IVORY SWEATER W/PEARLS,Clothing,Tops,Tops,55.50,IVORY,L,,,1,y,
,TK52750B-M,TK52750B-M,TK52750B-M,,LACE SLEEVELESS TOP,Clothing,Tops,Tops,45.00,Black,M,,,2,y,
,TK52750B-L,TK52750B-L,TK52750B-L,,LACE SLEEVELESS TOP,Clothing,Tops,Tops,45.00,Black,L,,,1,y,
,S10142L-M,S10142L-M,S10142L-M,,LONG BALLERINA SKIRT,Clothing,"Bottoms,Dresses",SKIRT,44.99,,M,,,1,y,
,S10142L-L,S10142L-L,S10142L-L,,LONG BALLERINA SKIRT,Clothing,"Bottoms,Dresses",SKIRT,44.99,,L,,,2,y,
,TJ52845G-M,TJ52845G-M,TJ52845G-M,,LONG SLEEVE TOP W/LEATHER,Clothing,Tops,Tops,49.50,BROWN,M,,,0,y,
,TJ52845G-L,TJ52845G-L,TJ52845G-L,,LONG SLEEVE TOP W/LEATHER,Clothing,Tops,Tops,49.50,BROWN,L,,,1,y,
,AU13-134-M,AU13-134-M,AU13-134-M,,LYNCH DRESS CARROT,Clothing,Dresses,DRESS,58.50,OARNGE,M,,,2,y,
,AU13-134-L,AU13-134-L,AU13-134-L,,LYNCH DRESS CARROT,Clothing,Dresses,DRESS,58.50,OARNGE,L,,,1,y,
,AU13-071-S,AU13-071-S,AU13-071-S,,LYNDON DRESS,Clothing,Dresses,DRESS,69.75,CREAM,S,,,1,y,
,AU13-071-M,AU13-071-M,AU13-071-M,,LYNDON DRESS,Clothing,Dresses,DRESS,69.75,CREAM,M,,,1,y,
,AU13-071-L,AU13-071-L,AU13-071-L,,LYNDON DRESS,Clothing,Dresses,DRESS,69.75,CREAM,L,,,1,y,
,ID11766-L,ID11766-L,ID11766-L,,MAXI DRESS W/ HOT PINK STITCHING,Clothing,Dresses,DRESS,59.99,,L,,,2,y,
,51214DA-K-L,51214DA-K-L,51214DA-K-L,,MAXI POCKET DRESS,Clothing,Dresses,DRESS,69.99,,L,,,1,y,
,M5608G-M,M5608G-M,M5608G-M,,MUSTARD TUNIC,Clothing,Tops,Tops,60.75,MUSTARD,M,,,1,y,
,M5608G-L,M5608G-L,M5608G-L,,MUSTARD TUNIC,Clothing,Tops,Tops,60.75,MUSTARD,L,,,1,y,
,S10151-M,S10151-M,S10151-M,,NAVY SKIRT,Clothing,"Bottoms,Dresses",SKIRT,39.99,NAVY,M,,,1,y,
,S10156-L,S10156-L,S10156-L,,NAVY SKIRT,Clothing,"Bottoms,Dresses",SKIRT,34.99,NAVY,M,,,1,y,
,T61532-M,T61532-M,T61532-M,,NAVY TOP W/BOW,Clothing,Tops,Tops,35.00,NAVY,M,,,2,y,
,DJ16336B-M,DJ16336B-M,DJ16336B-M,,OFF WHITE DRESS,Clothing,Dresses,DRESS,89.99,White,M,,,2,y,
,AU13-112-M,AU13-112-M,AU13-112-M,,OP ART SWEATER,Clothing,Tops,Tops,65.25,Black/ White,M,,,2,y,
,AU13-112-L,AU13-112-L,AU13-112-L,,OP ART SWEATER,Clothing,Tops,Tops,65.25,Black/ White,L,,,1,y,
,20176T-J-M,20176T-J-M,20176T-J-M,,PEPLUM TOP BLACK/JADE,Clothing,Tops,Tops,38.00,Black,M,,,2,y,
